ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min)
4607,INDORES13DEL02,37,4.9,22.745049,75.892471,22.765049,75.912471,Snack ,motorcycle ,24
B379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,Snack ,scooter ,33
5D6D,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,Drinks ,motorcycle ,26
7A6A,COIMBRES13DEL02,38,4.7,11.003669,76.976494,11.053669,77.026494,Buffet ,motorcycle ,21
70A2,CHENRES12DEL01,32,4.6,12.972793,80.249982,13.012793,80.289982,Snack ,scooter ,30
9BB4,HYDRES09DEL03,22,4.8,17.431668,78.408321,17.461668,78.438321,Buffet ,motorcycle ,26
95B4,RANCHIRES15DEL01,33,4.7,23.369746,85.33982,23.479746,85.44982,Meal ,scooter ,40
9EB2,MYSRES15DEL02,35,4.6,12.352058,76.60665,12.482058,76.73665,Meal ,motorcycle ,32
1102,HYDRES05DEL02,22,4.8,17.433809,78.386744,17.563809,78.516744,Buffet ,motorcycle ,34
CDCD,DEHRES17DEL01,36,4.2,30.327968,78.046106,30.397968,78.116106,Snack ,motorcycle ,46
D987,KOCRES16DEL01,21,4.7,10.003064,76.307589,10.043064,76.347589,Meal ,motorcycle ,23
2784,PUNERES13DEL03,23,4.7,18.56245,73.916619,18.65245,74.006619,Drinks ,scooter ,21
C8B6,LUDHRES15DEL02,34,4.3,30.899584,75.809346,30.919584,75.829346,Buffet ,motorcycle ,20
DB64,KNPRES14DEL02,24,4.7,26.463504,80.372929,26.593504,80.502929,Snack ,scooter ,41
3AF3,MUMRES15DEL03,29,4.5,19.176269,72.836721,19.266269,72.926721,Buffet ,electric_scooter ,20
3AAB,MYSRES01DEL01,35,4,12.311072,76.654878,12.351072,76.694878,Meal ,scooter ,33
689B,PUNERES20DEL01,33,4.2,18.592718,73.773572,18.702718,73.883572,Snack ,motorcycle ,40
6F67,HYDRES14DEL01,34,4.9,17.426228,78.407495,17.496228,78.477495,Snack ,motorcycle ,41
C9CF,KOLRES15DEL03,21,4.7,22.552672,88.352885,22.582672,88.382885,Meal ,motorcycle ,15
36B8,PUNERES19DEL02,25,4.1,18.563934,73.915367,18.643935,73.995367,Snack ,motorcycle ,36
5795,RANCHIRES06DEL02,31,4.7,23.357804,85.325146,23.487804,85.455146,Meal ,electric_scooter ,26
6C6B,COIMBRES13DEL01,37,5,11.003669,76.976494,11.013669,76.986494,Snack ,motorcycle ,20
B816,CHENRES19DEL02,33,4.3,12.986047,80.218114,13.116047,80.348114,Meal ,scooter ,39
539B,MUMRES02DEL01,25,4,19.221315,72.862381,19.261315,72.902381,Buffet ,motorcycle ,34
A1B2,CHENRES01DEL01,29,4.5,13.005801,80.250744,13.115801,80.360744,Meal ,electric_scooter ,15
3231,JAPRES16DEL03,27,5,26.849596,75.800512,26.879596,75.830512,Snack ,motorcycle ,18
8BC0,SURRES15DEL03,35,4.3,21.160522,72.771477,21.250522,72.861477,Drinks ,scooter ,38
2288,BANGRES09DEL03,32,4,12.934179,77.615797,13.024179,77.705797,Buffet ,motorcycle ,47
3C5E,PUNERES04DEL01,23,4.8,18.51421,73.838429,18.62421,73.948429,Buffet ,electric_scooter ,12
3E+60,COIMBRES02DEL03,31,4.8,11.022477,76.995667,11.052477,77.025667,Drinks ,motorcycle ,26
BFF,SURRES16DEL02,36,4.1,21.160437,72.774209,21.210437,72.824209,Drinks ,motorcycle ,22
D936,GOARES15DEL02,26,4.3,15.51315,73.78346,15.56315,73.83346,Buffet ,motorcycle ,21
D681,GOARES07DEL01,38,4.9,15.561295,73.749478,15.601295,73.789478,Drinks ,scooter ,25
2876,RANCHIRES02DEL01,32,3.5,0.0,0.0,0.11,0.11,Snack ,scooter ,35
30C8,PUNERES19DEL02,32,4.6,18.563934,73.915367,18.693935,74.045367,Drinks ,scooter ,30
B843,PUNERES02DEL01,33,4.9,18.55144,73.804855,18.62144,73.874855,Snack ,motorcycle ,22
B3A0,PUNERES18DEL01,20,4.7,18.593481,73.785901,18.633481,73.825901,Snack ,scooter ,10
6531,SURRES08DEL01,20,4.8,21.173343,72.792731,21.183343,72.802731,Meal ,scooter ,19
